mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source,geometry,eez_name,inside_indonesia_eez,distance_to_lane_km,inside_shipping_lane,nearest_port,distance_to_port_km,protected_name,protected_category,protected_no_take,distance_to_protected_km,inside_protected_area,bathymetry_m,year,month,day,hour,minute,day_of_week,is_weekend,time_gap_second,previous_speed,previous_course,acceleration,course_change,distance_previous_km,is_stop,trip_id,speed_change,acceleration_abs,turning_rate,heading_sin,heading_cos,hour_sin,hour_cos,month_sin,month_cos,movement_state,log_distance_port,log_distance_shore,depth_abs,historical_points,trip_length,gps_gap,missing_course,anomaly_score,embedding_norm
212575426119644,2016-08-28 23:19:18,0.01027664265598438,0.45070780227966767,-0.2429927201739299,-0.31452135676205656,-10.330445,130.08292,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff?\xa7B`@\xff\xff\xff\x1f0\xa9$\xc0',,False,0.21220221473554238,False,SAUMLAKI,0.3489764735990436,Pulau Angwarmase,Ia,Part,0.43720835244378714,False,0.5917933411831202,2016,8,28,23,19,6,1,1228.0,3.8,146.1,-0.006050870987842637,18.59999,2.3520613,0,167,0.21135380865867284,-0.03316928860574089,-0.07893079614025093,-0.005489405673727827,0.9999849330991689,-0.25881904510252157,0.9659258262890681,-0.8660254037844385,-0.5000000000000004,0,0.8139164583132832,0.48251206647823974,-0.5117664861483765,0.39927598092855643,-0.9241161100776825,-0.4380937750433577,0,4.753313,29.26076
87919276942456,2016-10-01 21:18:53,-0.6617833323909948,-0.7463537323333495,-0.943389119308986,0.38322332506356976,-8.743682,115.21224,-1,crowd_sourced,b'\x01\x01\x00\x00\x00\xff\xff\xff_\x95\xcd\\@\x00\x00\x00\xe0\xc3|!\xc0',,False,-0.5727747393273018,True,BENOA,-0.7393425623982677,Ngurah Rai,VI,Part,-0.757873135420413,False,0.650115486960923,2016,10,1,21,18,5,1,30.0,0.0,81.0,-0.004904776472312219,162.6,0.009168525,1,7,0.9206567490909591,-0.03431626446484457,10.213871860868126,0.00668845892322272,0.9999776320084527,-0.7071067811865477,0.7071067811865474,-0.8660254037844386,0.5000000000000001,0,-1.02584432254332,-0.83957087531293,-0.3988811148840425,-0.22613320381479235,-0.0969696394050265,-0.4380937750433577,0,4.749868,8.13037
165172979135964,2015-08-20 21:55:16,-0.47658046926737146,-0.30193509632654825,1.0063630298017334,-1.6118487435438644,1.1568934,124.04072,-1,false_positives,b'\x01\x01\x00\x00\x00\x01\x00\x00 \x9b\x02_@\x00\x00\x00\xa0\xa2\x82\xf2?',Indonesian Exclusive Economic Zone,True,-0.5337749074661365,False,MANADO,-0.3895589496524373,Bogani Nani Wartabone,II,Not Applicable,-0.592507734832311,False,-0.6022200432860791,2015,8,20,21,55,3,0,940.0,10.3,21.3,-0.004904776472312219,3.2999992,5.0516667,0,42,-0.9901861660244654,-0.03431626446484457,-0.1018136457704489,-0.028128357084062288,0.9996043194823397,-0.7071067811865477,0.7071067811865474,-0.8660254037844385,-0.5000000000000004,1,-0.07347787096365918,-0.3119706484550983,-0.49158509326136957,1.4350130946115454,-0.7653428143659992,-0.4380937750433577,0,4.738132,43.414
165172979135964,2015-11-23 01:40:25,-0.6617833323909948,-0.744413022333838,-0.943389119308986,0.36907382417543266,-1.2683333,116.80666,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00`\xa03]@\x00\x00\x00\xe0\x17K\xf4\xbf',Indonesian Exclusive Economic Zone,True,-0.5468771035955462,True,BALIKPAPAN,-0.733983406577111,Bukit Soeharto,VI,Not Applicable,-0.6261976533524569,False,0.6517060909366813,2015,11,23,1,40,0,0,157524.0,16.0,158.0,-0.0063343037338243905,84.0,135.21666,1,70,-2.7407298934907587,-0.0328856379007464,-0.10766586684484035,0.006441508867662412,0.9999792532665405,0.25881904510252074,0.9659258262890683,-0.5000000000000004,0.8660254037844384,0,-1.0030678264626531,-0.83957087531293,-0.3958024229404697,1.4350130946115454,-0.901236115499143,2.2826163186204402,0,4.733897,20.486103
165172979135964,2015-06-01 03:07:56,-0.654303058960095,-0.736222836570205,-0.12941490010427323,1.2631420549210253,-7.190767,112.75144,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00\xa0\x170\\@\x00\x00\x00`X\xc3\x1c\xc0',Indonesian Exclusive Economic Zone,True,-0.5776053221886461,True,SURABAYA,-0.7341994091342039,Raden Suryo,VI,Not Applicable,-0.5129101671083751,False,0.6426926684073845,2015,6,1,3,7,0,0,514.0,21.3,84.7,-0.47038901027342045,101.599976,3.38555,0,19,-3.7672968984073063,0.43152592544926405,0.2795388096086361,0.02204420200318714,0.9997569970538054,0.7071067811865476,0.7071067811865476,1.2246467991473532e-16,-1.0,0,-1.0039769313530513,-0.8131413891904231,-0.41324834395404864,1.4350130946115454,-0.8520094604968307,-0.4380937750433577,0,4.7319355,20.844046
165172979135964,2016-01-23 23:40:43,-0.6094214192878377,-0.5474040552046446,2.5585928312345345,0.43805240486072927,-8.595805,115.58236,-1,false_positives,b'\x01\x01\x00\x00\x00\x00\x00\x00`E\xe5\\@\x00\x00\x00`\r1!\xc0',Indonesian Exclusive Economic Zone,True,-0.5630430657107642,True,BENOA,-0.5800540405924484,Bangko-bangko,V,Part,-0.6264379763575437,False,0.41311549457294255,2016,1,23,23,40,5,1,157110.0,0.3,244.5,-0.003274404261996189,5.300003,53.744225,0,83,1.6533876178322509,-0.03594789042696736,-0.10864892193600867,0.00764538227799104,0.9999707736378216,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,1,-0.49210148123537645,-0.6656650611007303,-0.8576062144763814,1.4350130946115454,-0.949076104163362,2.2826163186204402,0,4.72358,10.555256
165172979135964,2015-09-20 01:45:57,-0.29616702716138826,-0.20390239465146262,2.104281731482948,-1.150223065018635,-0.41942668,121.18981,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\xdf%L^@\x01\x00\x00\x00\xe3\xd7\xda\xbf',Indonesian Exclusive Economic Zone,True,0.6583967639448077,False,POSO,-0.31569507159002286,Kepulauan Togean,II,Part,-0.576413807368234,False,0.32298126927997456,2015,9,20,1,45,6,1,76750.0,0.5,236.8,-0.002044121812253588,166.6,119.63867,0,57,1.503657250514983,-0.037179118960576234,-0.10444341541938193,-0.020073831218280085,0.9997985003490554,0.25881904510252074,0.9659258262890683,-1.0,-1.8369701987210297e-16,1,0.054353307703558826,0.045835918227764616,-1.0320654246121703,1.4350130946115454,-0.917182778387216,2.2826163186204402,0,4.714702,24.570807
165172979135964,2016-08-31 05:16:44,-0.5400133052818504,-0.14807310078278696,-0.9055298544146387,1.0226013494605406,-9.110824,124.02561,-1,false_positives,"b'\x01\x01\x00\x00\x00\xff\xff\xff\x9f\xa3\x01_@\xff\xff\xff\xdf\xbd8""\xc0'",Indonesian Exclusive Economic Zone,True,-0.5468069977910777,True,KUPANG,-0.26901568904467626,Gunung Mutis,Not Reported,Not Applicable,-0.54962915273339,False,-1.1785488838358216,2016,8,31,5,16,2,0,392.0,14.4,359.1,-0.5147301596124194,43.200012,0.8137595,1,133,-2.365927554014444,0.47590117301181345,0.10761681635964422,0.017846812953313057,0.9998407329507082,0.9659258262890683,0.25881904510252074,-0.8660254037844385,-0.5000000000000004,0,0.12820405518547384,-0.4680479522587485,0.6239276209598219,1.4350130946115454,-0.8998494491610497,-0.4380937750433577,0,4.6657667,22.556799
165172979135964,2016-09-17 06:02:49,-0.6283305315718748,-0.4639718767714539,2.0474927988822396,0.3062855995263306,-6.459998,110.65736,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\x1f\x12\xaa[@\xfe\xff\xff\xbf\t\xd7\x19\xc0',Indonesian Exclusive Economic Zone,True,-0.5651724802639877,True,SEMARANG,-0.5181894530349384,Keling II/III,III,Not Applicable,-0.6763157356414794,False,0.6400416617811208,2016,9,17,6,2,5,1,59407.0,0.0,319.0,-0.0011616141859497585,84.100006,71.488785,0,139,1.6050801931412426,-0.03806230523285057,-0.10592931339219946,0.005345666703087367,0.9999857118216737,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,1,-0.3383026544524803,-0.7256191906793944,-0.41837949719333645,1.4350130946115454,-0.9345161076133823,2.2826163186204402,0,4.6298065,17.631886
165172979135964,2016-01-25 00:51:57,-0.6468227855291951,-0.7088714218319653,-0.8866002205570976,-1.3350501950693554,-8.741968,115.14228,-1,false_positives,b'\x01\x01\x00\x00\x00\xff\xff\xff\x1f\x1b\xc9\\@\x00\x00\x00@\xe3{!\xc0',Indonesian Exclusive Economic Zone,True,-0.5614777379919761,True,BENOA,-0.7119409244831361,Ngurah Rai,VI,Part,-0.7444494297210188,False,0.6469342790094066,2016,1,25,0,51,0,0,90674.0,18.5,249.8,-0.007729707299943626,159.5,51.0331,1,84,-3.2998261741855845,-0.031489161273070346,-0.10525350478399577,-0.023298913140442096,0.9997285434789156,0.0,1.0,0.49999999999999994,0.8660254037844387,0,-0.9139759452321566,-0.7872777132272638,-0.4050384987711878,1.4350130946115454,-0.921342777401496,2.2826163186204402,0,4.6290665,8.445776
